CustomerID,Age,Gender,Category,ItemPurchased, Amount ,Season,PaymentMethod,ItemRating,DiscountApplied(%),PreviousPurchases,Age group
46,24,Female,Womens Clothing,Dress, $65.55 ,Autumn,Card,3.7,14,7,20-35
47,22,Male,Mens Clothing,Shirt, $62.69 ,Winter,Card,3.6,4,2,20-35
48,31,Female,Beauty,Makeup Set, $62.91 ,Autumn,Card,3.5,18,4,20-35
49,36,Female,Footwear,Sneakers, $165.43 ,Summer,Card,4.6,24,7,36-50
50,42,Female,Footwear,Sneakers, $222.12 ,Winter,Card,3.2,18,4,36-50
51,36,Male,Home,Lamp, $270.44 ,Winter,Card,2.3,12,6,36-50
52,25,Female,Womens Clothing,Skirt, $90.54 ,Autumn,Cash on Delivery,4.6,18,4,20-35
53,49,Male,Home,Kitchen Set, $45.03 ,Summer,Cash on Delivery,3.9,4,2,36-50
54,25,Female,Footwear,Formal Shoes, $180.42 ,Autumn,Card,3.9,22,6,20-35
55,52,Female,Accessories,Handbag, $117.70 ,Winter,Card,3.1,8,4,51-70
56,42,Female,Beauty,Makeup Set, $31.42 ,Summer,Card,2,2,1,36-50
57,43,Female,Womens Clothing,Skirt, $188.02 ,Autumn,Card,4.2,17,6,36-50
58,49,Male,Groceries,Snacks, $54.89 ,Summer,Card,4.4,19,7,36-50
59,34,Male,Electronics,Headphones," $1,459.73 ",Spring,Card,4,24,7,20-35
60,58,Male,Mens Clothing,Shirt, $82.99 ,Spring,Cash on Delivery,4.4,9,2,51-70
61,24,Male,Mens Clothing,Jeans, $121.20 ,Summer,Card,4.3,12,6,20-35
62,55,Female,Accessories,Handbag, $152.29 ,Winter,Card,4.7,15,5,51-70
63,59,Female,Groceries,Snacks, $59.46 ,Winter,Cash on Delivery,4,18,4,51-70
64,70,Male,Groceries,Cooking Oil, $73.30 ,Winter,Card,2.9,9,2,51-70
65,20,Male,Footwear,Sandals, $123.79 ,Spring,Card,3.5,6,3,20-35
66,30,Female,Womens Clothing,Skirt, $155.38 ,Summer,Card,3,6,3,20-35
67,25,Male,Electronics,Laptop," $1,951.47 ",Autumn,Card,3.8,14,2,20-35
68,41,Female,Footwear,Sneakers, $102.92 ,Spring,Card,4,12,6,36-50
69,35,Female,Beauty,Makeup Set, $112.83 ,Spring,Card,3.8,10,5,20-35
70,29,Male,Sports,Football, $30.71 ,Autumn,Card,3.7,16,3,20-35
71,42,Male,Sports,Yoga Mat, $101.34 ,Spring,Card,3,32,11,36-50
72,20,Male,Footwear,Formal Shoes, $213.27 ,Winter,Card,5,11,3,20-35
73,53,Male,Sports,Yoga Mat, $196.81 ,Winter,Card,4.4,17,6,51-70
74,58,Male,Sports,Yoga Mat, $246.49 ,Autumn,Card,4.5,11,3,51-70
75,40,Female,Womens Clothing,Top, $124.21 ,Summer,Card,3,6,3,36-50
76,59,Female,Beauty,Skincare Kit, $42.80 ,Winter,Card,3.1,13,4,51-70
77,70,Male,Mens Clothing,Shirt, $96.18 ,Autumn,Card,2.7,20,5,51-70
78,38,Male,Electronics,Mobile Phone," $2,888.09 ",Winter,Card,3.6,8,4,36-50
79,62,Female,Accessories,Sunglasses, $151.06 ,Autumn,Card,4.1,20,5,51-70
80,35,Female,Accessories,Handbag, $141.45 ,Autumn,Card,5,19,7,20-35
81,26,Male,Groceries,Cooking Oil, $73.66 ,Spring,Card,4.7,11,3,20-35
82,58,Male,Mens Clothing,Jacket, $36.29 ,Autumn,Card,3.4,6,3,51-70
83,45,Male,Footwear,Sandals, $208.84 ,Summer,Card,4.4,18,9,36-50
84,58,Female,Womens Clothing,Dress, $98.33 ,Spring,Card,4.1,26,8,51-70
85,49,Female,Womens Clothing,Dress, $37.16 ,Summer,Cash on Delivery,3.7,16,3,36-50
86,65,Female,Beauty,Makeup Set, $41.71 ,Winter,Card,3.3,19,7,51-70
87,22,Female,Beauty,Makeup Set, $145.98 ,Summer,Card,3.5,24,7,20-35
88,44,Male,Electronics,Mobile Phone," $1,643.58 ",Autumn,Card,3.2,11,3,36-50
89,61,Male,Electronics,Laptop," $2,338.03 ",Spring,Card,3.8,14,2,51-70
90,56,Female,Groceries,Rice Pack, $68.84 ,Summer,Cash on Delivery,5,19,7,51-70
91,35,Female,Accessories,Sunglasses, $45.66 ,Spring,Cash on Delivery,4.6,18,4,20-35
92,51,Male,Footwear,Sandals, $40.24 ,Winter,Card,3.8,18,4,51-70
93,36,Female,Footwear,Sneakers, $203.77 ,Spring,Card,4.4,19,7,36-50
94,20,Female,Accessories,Wallet, $159.45 ,Winter,Card,4.6,20,5,20-35
95,25,Male,Footwear,Sandals, $183.49 ,Autumn,Card,3.5,20,5,20-35
96,21,Male,Mens Clothing,Jacket, $76.45 ,Summer,Card,4.4,12,6,20-35
97,20,Female,Accessories,Wallet, $54.10 ,Summer,Card,4.1,16,3,20-35
98,65,Female,Accessories,Handbag, $41.00 ,Autumn,Cash on Delivery,4,10,5,51-70
99,39,Female,Footwear,Sneakers, $73.77 ,Spring,Card,3.5,17,6,36-50
100,51,Male,Electronics,Smart Watch," $2,449.63 ",Autumn,Card,1.9,4,2,51-70
101,65,Female,Home,Curtains, $86.79 ,Spring,Cash on Delivery,3.6,12,6,51-70
102,58,Female,Womens Clothing,Skirt, $64.03 ,Summer,Card,3.2,13,4,51-70
103,50,Female,Footwear,Formal Shoes, $171.31 ,Autumn,Card,5,21,8,36-50
104,42,Female,Groceries,Snacks, $21.44 ,Autumn,Card,3.6,19,7,36-50
105,60,Male,Mens Clothing,Jacket, $145.64 ,Winter,Card,3.3,2,1,51-70
106,50,Female,Footwear,Sneakers, $112.65 ,Spring,Card,3.9,10,5,36-50
107,55,Female,Footwear,Formal Shoes, $177.55 ,Summer,Card,4.2,17,6,51-70
108,61,Female,Womens Clothing,Skirt, $100.22 ,Summer,Card,3.8,4,2,51-70
109,33,Female,Footwear,Formal Shoes, $60.00 ,Summer,Card,3.3,8,4,20-35
110,66,Male,Footwear,Formal Shoes, $75.65 ,Winter,Card,4,14,7,51-70
111,66,Male,Electronics,Laptop," $2,263.46 ",Autumn,Card,3.8,13,4,51-70
112,45,Male,Footwear,Formal Shoes, $77.80 ,Winter,Cash on Delivery,3.2,9,2,36-50
113,69,Female,Womens Clothing,Top, $84.93 ,Autumn,Cash on Delivery,4.6,17,6,51-70
114,27,Female,Sports,Football, $124.84 ,Spring,Card,3.2,20,10,20-35
115,23,Male,Footwear,Formal Shoes, $122.71 ,Summer,Card,3.4,8,4,20-35
116,60,Male,Electronics,Mobile Phone," $1,317.58 ",Winter,Card,4.2,26,8,51-70
117,31,Female,Beauty,Perfume, $70.51 ,Spring,Cash on Delivery,4.2,18,4,20-35
118,28,Male,Sports,Yoga Mat, $132.82 ,Autumn,Card,2.9,9,2,20-35
119,56,Male,Footwear,Sandals, $200.63 ,Summer,Card,4,18,4,51-70
120,34,Female,Womens Clothing,Skirt, $47.24 ,Spring,Cash on Delivery,4.1,15,5,20-35
121,37,Female,Footwear,Formal Shoes, $65.60 ,Winter,Cash on Delivery,3.2,15,5,36-50
122,63,Female,Accessories,Sunglasses, $20.41 ,Autumn,Cash on Delivery,3.7,17,6,51-70
123,35,Male,Electronics,Smart Watch," $1,187.02 ",Autumn,Card,3.5,15,5,20-35
124,53,Male,Electronics,Mobile Phone, $559.10 ,Autumn,Card,3.4,17,6,51-70
125,54,Male,Footwear,Formal Shoes, $129.92 ,Winter,Card,4.2,13,4,51-70
126,65,Female,Groceries,Beverages, $19.39 ,Spring,Cash on Delivery,3.4,6,3,51-70
127,24,Female,Beauty,Makeup Set, $97.07 ,Autumn,Cash on Delivery,2.4,13,4,20-35
128,55,Male,Sports,Dumbbells, $70.21 ,Spring,Cash on Delivery,3.4,18,4,51-70
129,64,Male,Sports,Yoga Mat, $248.31 ,Winter,Card,3.7,19,7,51-70
130,21,Male,Sports,Football, $149.61 ,Autumn,Card,3.6,21,8,20-35
131,66,Male,Home,Lamp, $132.77 ,Spring,Card,3.5,17,6,51-70
132,39,Female,Beauty,Makeup Set, $37.23 ,Winter,Card,3.4,14,7,36-50
133,53,Female,Footwear,Sneakers, $88.84 ,Summer,Cash on Delivery,1.8,16,3,51-70
134,25,Female,Womens Clothing,Top, $140.53 ,Spring,Card,3.9,11,3,20-35
135,30,Female,Sports,Football, $121.83 ,Autumn,Card,3.5,16,3,20-35
136,23,Male,Electronics,Headphones," $1,052.01 ",Autumn,Card,4.1,24,7,20-35
137,41,Female,Groceries,Cooking Oil, $77.29 ,Winter,Card,3.9,18,4,36-50
138,40,Female,Beauty,Skincare Kit, $124.20 ,Spring,Card,3.1,17,6,36-50
139,23,Female,Footwear,Formal Shoes, $139.96 ,Autumn,Card,4.1,18,9,20-35
140,59,Male,Footwear,Formal Shoes, $121.13 ,Summer,Card,3.6,10,5,51-70
141,56,Female,Groceries,Snacks, $58.72 ,Autumn,Card,2.6,2,1,51-70
142,34,Male,Sports,Dumbbells, $64.17 ,Autumn,Card,3,8,4,20-35
143,59,Male,Footwear,Formal Shoes, $42.19 ,Spring,Cash on Delivery,3.2,4,2,51-70
144,40,Female,Footwear,Formal Shoes, $166.40 ,Autumn,Card,3.8,14,7,36-50
145,33,Female,Womens Clothing,Top, $76.54 ,Summer,Card,4.2,6,3,20-35
146,68,Female,Womens Clothing,Dress, $158.36 ,Spring,Card,3.6,23,9,51-70
147,48,Male,Footwear,Formal Shoes, $84.84 ,Summer,Card,4.7,26,8,36-50
148,27,Female,Footwear,Sneakers, $195.76 ,Summer,Card,4,17,6,20-35
149,46,Male,Sports,Football, $146.21 ,Summer,Card,3.6,8,4,36-50
150,35,Male,Mens Clothing,T-Shirt, $115.35 ,Winter,Card,4.1,13,4,20-35
151,57,Male,Sports,Football, $31.54 ,Winter,Cash on Delivery,5,16,3,51-70
152,35,Female,Footwear,Formal Shoes, $142.19 ,Spring,Card,3.6,16,3,20-35
153,38,Female,Footwear,Formal Shoes, $246.21 ,Autumn,Card,3.1,8,4,36-50
154,68,Male,Footwear,Sandals, $194.06 ,Spring,Card,3.8,18,4,51-70
155,66,Female,Accessories,Handbag, $172.05 ,Winter,Card,2.5,17,6,51-70
156,38,Female,Womens Clothing,Skirt, $94.08 ,Summer,Cash on Delivery,4.1,22,6,36-50
157,20,Female,Womens Clothing,Dress, $57.01 ,Summer,Card,3.1,15,5,20-35
158,47,Female,Footwear,Formal Shoes, $130.07 ,Spring,Card,3.1,13,4,36-50
159,62,Male,Mens Clothing,Shirt, $161.22 ,Autumn,Card,4.7,18,4,51-70
160,33,Male,Electronics,Mobile Phone, $862.41 ,Spring,Card,3.5,12,6,20-35
161,23,Male,Footwear,Formal Shoes, $157.86 ,Spring,Card,5,13,4,20-35
162,25,Female,Beauty,Skincare Kit, $142.94 ,Autumn,Card,4.5,17,6,20-35
163,29,Male,Sports,Football, $70.31 ,Summer,Cash on Delivery,3,8,4,20-35
164,60,Female,Womens Clothing,Dress, $34.62 ,Summer,Card,4.2,20,5,51-70
165,69,Male,Footwear,Sandals, $82.79 ,Summer,Cash on Delivery,5,21,8,51-70
166,35,Male,Footwear,Formal Shoes, $75.46 ,Autumn,Card,2.5,16,3,20-35
167,49,Female,Accessories,Handbag, $148.58 ,Summer,Card,4.3,26,8,36-50
168,52,Female,Womens Clothing,Top, $43.50 ,Autumn,Cash on Delivery,3.4,24,7,51-70
169,28,Male,Mens Clothing,Jacket, $179.57 ,Winter,Card,3.2,6,3,20-35
170,70,Male,Sports,Football, $122.99 ,Autumn,Card,3.4,10,5,51-70
171,53,Female,Footwear,Sandals, $76.73 ,Autumn,Cash on Delivery,5,24,7,51-70
172,36,Male,Sports,Football, $227.24 ,Summer,Card,3.4,14,2,36-50
173,53,Female,Womens Clothing,Jeans, $94.87 ,Winter,Cash on Delivery,3.6,13,4,51-70
174,38,Female,Womens Clothing,Skirt, $166.83 ,Winter,Card,4.1,16,3,36-50
175,38,Male,Sports,Yoga Mat, $52.06 ,Winter,Card,2.3,4,2,36-50
176,54,Male,Mens Clothing,Shirt, $38.18 ,Winter,Cash on Delivery,3.5,12,6,51-70
177,67,Female,Accessories,Wallet, $156.91 ,Summer,Card,3.3,8,4,51-70
178,36,Female,Beauty,Skincare Kit, $110.28 ,Spring,Card,3.8,16,3,36-50
179,48,Female,Accessories,Wallet, $114.67 ,Winter,Card,3.5,8,4,36-50
180,20,Female,Womens Clothing,Top, $73.25 ,Winter,Card,2.5,11,3,20-35
181,48,Male,Sports,Yoga Mat, $162.43 ,Summer,Card,3.4,11,3,36-50
182,40,Male,Mens Clothing,Jeans, $79.89 ,Summer,Card,4.4,18,4,36-50
183,60,Male,Footwear,Formal Shoes, $248.49 ,Autumn,Card,4.2,6,3,51-70
184,52,Male,Sports,Yoga Mat, $187.31 ,Winter,Card,4.7,7,1,51-70
185,66,Male,Home,Curtains, $60.91 ,Winter,Card,4,8,4,51-70
186,60,Female,Accessories,Handbag, $21.62 ,Spring,Cash on Delivery,3.8,19,7,51-70
187,36,Male,Footwear,Sandals, $142.06 ,Autumn,Card,3.5,4,2,36-50
188,57,Female,Accessories,Wallet, $84.62 ,Autumn,Card,2.8,18,4,51-70
189,63,Male,Footwear,Sandals, $162.26 ,Autumn,Card,3.5,12,6,51-70
190,38,Male,Mens Clothing,T-Shirt, $31.14 ,Summer,Card,4.4,19,7,36-50
191,23,Male,Groceries,Cooking Oil, $7.07 ,Spring,Cash on Delivery,3.7,18,4,20-35
192,56,Female,Home,Lamp, $157.98 ,Winter,Card,4.8,10,5,51-70
193,51,Female,Beauty,Skincare Kit, $82.12 ,Winter,Card,3.2,13,4,51-70
194,65,Male,Sports,Dumbbells, $150.48 ,Winter,Card,3.5,20,5,51-70
195,36,Male,Sports,Yoga Mat, $153.11 ,Summer,Card,4,6,3,36-50
196,46,Male,Mens Clothing,Shirt, $107.94 ,Spring,Card,3.8,6,3,36-50
197,31,Female,Sports,Yoga Mat, $245.72 ,Winter,Card,4.1,20,5,20-35
198,70,Female,Beauty,Makeup Set, $79.28 ,Winter,Card,2,12,6,51-70
199,68,Male,Footwear,Sandals, $225.53 ,Spring,Card,4.5,13,4,51-70
200,29,Female,Beauty,Makeup Set, $63.34 ,Summer,Card,4.5,17,6,20-35
201,20,Female,Beauty,Perfume, $38.57 ,Spring,Card,4.6,19,7,20-35
202,30,Male,Mens Clothing,T-Shirt, $128.10 ,Summer,Card,3,12,1,20-35
203,57,Female,Beauty,Perfume, $129.47 ,Spring,Card,4.4,15,5,51-70
204,46,Female,Beauty,Perfume, $49.38 ,Spring,Cash on Delivery,3.4,19,7,36-50
205,55,Female,Footwear,Formal Shoes, $90.81 ,Autumn,Card,4.4,24,7,51-70
206,68,Male,Groceries,Cooking Oil, $63.73 ,Winter,Card,4.5,24,7,51-70
207,62,Male,Mens Clothing,T-Shirt, $127.21 ,Autumn,Card,4.9,14,7,51-70
208,29,Male,Groceries,Snacks, $54.98 ,Autumn,Cash on Delivery,2.9,16,8,20-35
209,58,Female,Accessories,Sunglasses, $37.76 ,Autumn,Card,3.5,14,2,51-70
210,50,Female,Beauty,Makeup Set, $81.40 ,Spring,Cash on Delivery,4.9,20,5,36-50
211,22,Female,Footwear,Sneakers, $183.26 ,Winter,Card,2.4,6,3,20-35
212,29,Female,Womens Clothing,Jeans, $172.51 ,Autumn,Card,3.8,13,4,20-35
213,43,Male,Sports,Yoga Mat, $141.78 ,Winter,Card,2.9,24,7,36-50
214,25,Male,Groceries,Rice Pack, $62.99 ,Autumn,Card,2.9,16,3,20-35
215,32,Male,Footwear,Sneakers, $154.86 ,Spring,Card,4.1,18,4,20-35
216,47,Male,Footwear,Formal Shoes, $162.26 ,Autumn,Card,4,19,7,36-50
217,26,Female,Beauty,Makeup Set, $60.97 ,Spring,Card,4.6,21,8,20-35
218,69,Female,Groceries,Beverages, $52.32 ,Winter,Cash on Delivery,3.6,10,5,51-70
219,25,Female,Womens Clothing,Top, $122.97 ,Autumn,Card,4.3,24,7,20-35
220,63,Female,Sports,Dumbbells, $245.76 ,Spring,Card,4,13,4,51-70
221,45,Female,Sports,Football, $229.28 ,Autumn,Card,4.9,16,8,36-50
222,43,Female,Womens Clothing,Jeans, $32.06 ,Summer,Card,3.5,7,1,36-50
223,40,Female,Footwear,Formal Shoes, $148.08 ,Winter,Card,3.7,10,5,36-50
224,48,Male,Sports,Football, $32.34 ,Winter,Cash on Delivery,4.1,6,3,36-50
225,39,Male,Sports,Football, $79.09 ,Winter,Card,4,8,4,36-50
226,23,Male,Sports,Dumbbells, $121.19 ,Autumn,Card,3.2,17,6,20-35
227,42,Female,Womens Clothing,Jeans, $64.76 ,Summer,Card,3.7,11,3,36-50
228,43,Male,Electronics,Smart Watch," $2,234.05 ",Summer,Card,4.2,12,6,36-50
229,60,Male,Sports,Yoga Mat, $106.49 ,Summer,Card,3.4,16,3,51-70
230,55,Male,Electronics,Headphones," $2,024.08 ",Summer,Card,3.2,18,4,51-70
231,55,Male,Mens Clothing,Shirt, $122.22 ,Summer,Card,4.1,13,4,51-70
232,51,Female,Beauty,Perfume, $112.88 ,Autumn,Card,4.9,22,6,51-70
233,58,Male,Footwear,Sandals, $66.28 ,Winter,Cash on Delivery,2.7,6,3,51-70
234,22,Male,Sports,Dumbbells, $122.95 ,Autumn,Card,3.1,22,6,20-35
235,54,Female,Beauty,Makeup Set, $129.63 ,Spring,Card,5,10,5,51-70
236,59,Male,Mens Clothing,Jacket, $191.92 ,Autumn,Card,3.9,21,8,51-70
237,22,Female,Accessories,Sunglasses, $21.95 ,Winter,Cash on Delivery,3.6,16,3,20-35
238,24,Male,Electronics,Mobile Phone," $1,117.83 ",Summer,Card,2.9,13,4,20-35
239,58,Female,Footwear,Formal Shoes, $194.03 ,Spring,Card,3,21,8,51-70
240,24,Female,Beauty,Makeup Set, $111.59 ,Summer,Card,3.7,8,4,20-35
241,35,Female,Womens Clothing,Top, $194.65 ,Autumn,Card,3.6,9,2,20-35
242,63,Male,Footwear,Formal Shoes, $96.15 ,Winter,Card,3.2,9,2,51-70
243,51,Female,Accessories,Sunglasses, $115.63 ,Winter,Card,2.9,19,7,51-70
244,47,Male,Sports,Football, $146.95 ,Spring,Card,5,24,7,36-50
245,69,Male,Electronics,Headphones," $2,517.97 ",Autumn,Card,4.3,28,9,51-70
246,66,Female,Beauty,Makeup Set, $55.20 ,Summer,Card,3.6,11,3,51-70
247,35,Female,Accessories,Wallet, $161.59 ,Spring,Card,3.4,22,6,20-35
248,36,Male,Footwear,Sneakers, $110.06 ,Spring,Card,3.9,19,7,36-50
249,59,Female,Accessories,Handbag, $145.44 ,Summer,Card,4.5,22,6,51-70
250,20,Male,Mens Clothing,Jeans, $99.49 ,Autumn,Cash on Delivery,3.8,18,9,20-35
251,46,Female,Beauty,Skincare Kit, $116.53 ,Winter,Card,4.2,12,6,36-50
252,68,Male,Mens Clothing,Jacket, $170.91 ,Winter,Card,3.8,14,7,51-70
253,66,Male,Sports,Yoga Mat, $111.58 ,Autumn,Card,3.4,21,8,51-70
254,70,Female,Home,Kitchen Set, $96.25 ,Autumn,Cash on Delivery,2.9,14,2,51-70
255,43,Female,Beauty,Perfume, $118.00 ,Winter,Card,4.1,12,6,36-50
256,67,Male,Electronics,Laptop," $1,597.74 ",Summer,Card,5,30,10,51-70
257,48,Male,Mens Clothing,T-Shirt, $179.87 ,Summer,Card,3.7,17,6,36-50
258,38,Female,Accessories,Sunglasses, $22.14 ,Autumn,Cash on Delivery,4.7,9,2,36-50
259,41,Female,Beauty,Perfume, $28.65 ,Summer,Card,2.3,8,4,36-50
260,33,Female,Accessories,Wallet, $79.92 ,Summer,Cash on Delivery,4.2,14,2,20-35
261,21,Female,Beauty,Perfume, $124.58 ,Summer,Card,4.3,19,7,20-35
262,26,Female,Home,Lamp, $72.84 ,Summer,Card,3.1,14,7,20-35
263,35,Female,Beauty,Skincare Kit, $47.94 ,Spring,Card,3.6,13,4,20-35
264,51,Male,Mens Clothing,Shirt, $74.89 ,Spring,Cash on Delivery,3.2,22,6,51-70
265,58,Male,Sports,Dumbbells, $246.24 ,Winter,Card,3.5,12,6,51-70
266,65,Female,Beauty,Makeup Set, $135.46 ,Autumn,Card,4.3,24,7,51-70
267,31,Male,Footwear,Sneakers, $220.18 ,Spring,Card,3.4,6,3,20-35
268,67,Male,Mens Clothing,Jacket, $159.94 ,Winter,Card,4.5,10,5,51-70
269,29,Male,Electronics,Laptop," $2,391.83 ",Winter,Card,3.4,14,7,20-35
270,31,Female,Beauty,Makeup Set, $112.96 ,Autumn,Card,5,13,4,20-35
271,42,Male,Groceries,Snacks, $56.82 ,Spring,Card,5,17,6,36-50
272,33,Female,Groceries,Snacks, $17.86 ,Autumn,Cash on Delivery,3.7,30,10,20-35
273,59,Male,Groceries,Beverages, $22.31 ,Spring,Card,3.9,28,9,51-70
274,36,Male,Electronics,Smart Watch," $2,851.93 ",Autumn,Card,3.4,8,4,36-50
275,61,Female,Womens Clothing,Skirt, $164.20 ,Autumn,Card,3.6,11,3,51-70
276,22,Male,Sports,Dumbbells, $204.62 ,Autumn,Card,3.3,16,3,20-35
277,68,Female,Footwear,Sneakers, $75.72 ,Spring,Cash on Delivery,4.3,20,5,51-70
278,24,Female,Footwear,Formal Shoes, $105.45 ,Summer,Card,2.3,5,0,20-35
279,36,Male,Footwear,Formal Shoes, $212.70 ,Autumn,Card,4,18,4,36-50
280,28,Female,Accessories,Handbag, $98.30 ,Autumn,Card,3.3,24,7,20-35
281,59,Male,Electronics,Laptop," $1,775.37 ",Winter,Card,3.2,16,8,51-70
282,53,Female,Beauty,Makeup Set, $146.09 ,Summer,Card,3.2,10,5,51-70
283,50,Male,Mens Clothing,T-Shirt, $144.37 ,Winter,Card,4.6,8,4,36-50
284,39,Female,Womens Clothing,Jeans, $107.92 ,Autumn,Card,4.9,13,4,36-50
285,27,Male,Footwear,Sneakers, $138.29 ,Summer,Card,3.6,14,7,20-35
286,40,Female,Accessories,Handbag, $101.69 ,Winter,Card,5,10,5,36-50
287,28,Female,Footwear,Sandals, $198.28 ,Autumn,Card,3.6,20,5,20-35
288,61,Female,Sports,Dumbbells, $171.59 ,Winter,Card,3,16,8,51-70
289,54,Male,Electronics,Laptop," $2,903.73 ",Spring,Card,3.7,30,10,51-70
290,51,Male,Footwear,Formal Shoes, $206.84 ,Summer,Card,2.2,8,4,51-70
291,31,Female,Womens Clothing,Jeans, $63.74 ,Autumn,Cash on Delivery,3.7,8,4,20-35
292,61,Male,Sports,Yoga Mat, $64.87 ,Summer,Cash on Delivery,1.8,22,6,51-70
293,50,Female,Accessories,Sunglasses, $67.82 ,Spring,Card,2.5,14,7,36-50
294,65,Female,Beauty,Skincare Kit, $95.87 ,Autumn,Card,4,14,2,51-70
295,46,Female,Sports,Yoga Mat, $142.71 ,Spring,Card,3.2,10,5,36-50
296,48,Male,Home,Lamp, $218.92 ,Winter,Card,3.7,21,8,36-50
297,58,Male,Sports,Dumbbells, $57.47 ,Winter,Card,2.5,2,1,51-70
298,20,Male,Mens Clothing,Jeans, $170.00 ,Spring,Card,3.6,12,6,20-35
299,36,Female,Womens Clothing,Skirt, $67.61 ,Spring,Cash on Delivery,3.8,19,7,36-50
300,66,Male,Mens Clothing,Jeans, $141.21 ,Summer,Card,3.4,22,6,51-70
301,66,Female,Accessories,Sunglasses, $57.04 ,Autumn,Cash on Delivery,3.5,18,4,51-70
302,32,Female,Womens Clothing,Dress, $41.92 ,Autumn,Cash on Delivery,3.5,8,4,20-35
303,51,Male,Footwear,Formal Shoes, $106.72 ,Autumn,Card,2.8,18,4,51-70
